,Papel,Tipo,Empresa,Setor,Subsetor,Cotação,Data últ cot,Min 52 sem,Max 52 sem,Vol $ méd (2m),Valor de mercado,Valor da firma,Últ balanço processado,Nro. Ações,P/L,P/VP,P/EBIT,PSR,P/Ativos,P/Cap. Giro,P/Ativ Circ Liq,Div. Yield,EV / EBITDA,EV / EBIT,Cres. Rec (5a),LPA,VPA,Marg. Bruta,Marg. EBIT,Marg. Líquida,EBIT / Ativo,ROIC,ROE,Liquidez Corr,Div Br/ Patrim,Giro Ativos,Ativo,Disponibilidades,Ativo Circulante,Dív. Bruta,Dív. Líquida,Patrim. Líq,Cart. de Crédito,Depósitos
36,BBAS3,ON,BANCO DO BRASIL S.A. ON,Intermediários Financeiros,Bancos,33.54,28/05/2021,27.44,38.69,462991000,96106100000,0,31/03/2021,2865420000,7.13,0.75,0,0,0,0,0,"5,5%",0,0,"-4,4%",4.70,44.53,0,0,"0,0%","0,0%",0,"10,6%",0,0,0,1891610000000,0,0,0,0,127589000000,0,0
37,BBDC3,ON N1,BANCO BRADESCO S.A. ON N1,Intermediários Financeiros,Bancos,22.86,28/05/2021,15.86,22.90,132112000,222178000000,0,31/03/2021,9719080000,11.50,1.54,0,0,0,0,0,"2,4%",0,0,"-1,4%",1.99,14.84,0,0,"0,0%","0,0%",0,"13,4%",0,0,0,1387360000000,0,0,0,0,144240000000,0,0
38,BBDC4,PN N1,BANCO BRADESCO S.A. PN N1,Intermediários Financeiros,Bancos,26.54,28/05/2021,16.80,26.54,949688000,257944000000,0,31/03/2021,9719080000,13.35,1.79,0,0,0,0,0,"2,3%",0,0,"-1,4%",1.99,14.84,0,0,"0,0%","0,0%",0,"13,4%",0,0,0,1387360000000,0,0,0,0,144240000000,0,0
39,BBRK3,ON NM,BR Brokers ON NM,Exploração de Imóveis,Intermediação Imobiliária,1.78,28/05/2021,1.42,2.90,2711000,139787000,106378000,31/03/2021,78531800,-1.07,2.59,-4.77,1.36,0.73,-8.00,-1.66,"0,0%",-5.79,-3.63,"3,3%",-1.67,0.69,"60,1%","-28,6%","-132,4%","-15,3%","-19,5%","-242,3%",0.75,0,0.53,192209000,33409000,53625000,0,-33409000,53983000,0,0
40,BBSE3,ON NM,BBSEGURIDADE ON NM,Previdência e Seguros,Seguradoras,23.39,28/05/2021,21.98,29.70,143676000,46780000000,0,31/03/2021,2000000000,11.86,6.53,9.52,0,4.53,0,0,"5,8%",0,0,0,1.97,3.58,0,0,"0,0%","47,5%",0,"55,1%",0,0,0,10334300000,0,0,0,0,7164750000,0,0
41,BDLL3,ON,BAEDELLA ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,10.75,28/05/2021,8.00,27.51,145720,17200000,261772000,31/03/2021,1600000,-0.29,-0.10,-0.44,1.02,0.03,-0.07,-0.03,"0,0%",-8.31,-6.73,"-47,0%",-36.78,-104.27,"-119,0%","-231,3%","-350,0%","-5,8%","-6,8%","35,3%",0.52,-1.47,0.03,667993000,334000,264252000,244906000,244572000,-166839000,0,0
42,BDLL4,PN,BAEDELLA PN,Máquinas e Equipamentos,Máq. e Equip. Industriais,10.04,28/05/2021,6.60,15.04,115310,16064000,260636000,31/03/2021,1600000,-0.27,-0.10,-0.41,0.96,0.02,-0.07,-0.03,"0,0%",-8.27,-6.70,"-47,0%",-36.78,-104.27,"-119,0%","-231,3%","-350,0%","-5,8%","-6,8%","35,3%",0.52,-1.47,0.03,667993000,334000,264252000,244906000,244572000,-166839000,0,0
43,BEEF3,ON NM,Minerva ON NM,Alimentos Processados,Carnes e Derivados,9.87,28/05/2021,8.48,13.40,111283000,5424840000,10809500000,31/03/2021,549629000,7.91,5.35,2.83,0.26,0.30,0.93,-1.12,"10,4%",4.84,5.64,"20,5%",1.25,1.84,"19,1%","9,1%","3,3%","10,5%","20,6%","67,6%",1.90,11.63,1.16,18202500000,6410130000,12343300000,11794800000,5384680000,1013840000,0,0
44,BEES3,ON,BANESTES S/A ON,Intermediários Financeiros,Bancos,5.14,28/05/2021,4.69,5.98,261245,1623790000,0,31/03/2021,315913000,7.73,0.92,0,0,0,0,0,"3,7%",0,0,"5,8%",0.67,5.58,0,0,"0,0%","0,0%",0,"11,9%",0,0,0,32091200000,0,0,0,0,1764020000,0,0
45,BEES4,PN,BANESTES S/A PN,Intermediários Financeiros,Bancos,5.86,28/05/2021,5.00,6.15,21103,1851250000,0,31/03/2021,315913000,8.81,1.05,0,0,0,0,0,"3,3%",0,0,"5,8%",0.67,5.58,0,0,"0,0%","0,0%",0,"11,9%",0,0,0,32091200000,0,0,0,0,1764020000,0,0
